取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-04-04T00:24:33.802127+09:00,天津,ZBTJ,15,-9,20,9,,9999,1010,,,ZBTJ 031500Z 02009MPS CAVOK 15/M09 Q1010 BECMG TL1630 03004MPS
2026-04-04T01:05:03.798504+09:00,天津,ZBTJ,15,-11,20,9,,9999,1010,,,ZBTJ 031530Z 02009MPS CAVOK 15/M11 Q1010 NOSIG
2026-04-04T01:57:58.257530+09:00,天津,ZBTJ,13,-8,50,6,,9999,1011,,,ZBTJ 031630Z 05006MPS 020V080 CAVOK 13/M08 Q1011 NOSIG
2026-04-04T02:35:45.480939+09:00,天津,ZBTJ,10,0,110,4,,6000,1011,,,ZBTJ 031700Z 11004MPS 6000 NSC 10/M00 Q1011 NOSIG
