取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-03-18T04:37:51.490030+09:00,天津,ZBTJ,7,4,20,6,,8000,1019,,,ZBTJ 171930Z 02006MPS 8000 NSC 07/04 Q1019 NOSIG
2026-03-18T05:05:59.654413+09:00,天津,ZBTJ,7,4,20,6,,8000,1019,,,ZBTJ 171930Z 02006MPS 8000 NSC 07/04 Q1019 NOSIG
2026-03-18T05:58:43.080827+09:00,天津,ZBTJ,6,3,40,6,,9999,1020,,,ZBTJ 172030Z 04006MPS CAVOK 06/03 Q1020 NOSIG
2026-03-18T06:42:06.620203+09:00,天津,ZBTJ,5,2,30,4,,9999,1021,,,ZBTJ 172130Z 03004MPS CAVOK 05/02 Q1021 NOSIG
2026-03-18T07:27:31.346928+09:00,天津,ZBTJ,5,2,20,4,,9999,1021,,,ZBTJ 172200Z 02004MPS CAVOK 05/02 Q1021 NOSIG
2026-03-18T08:03:34.426549+09:00,天津,ZBTJ,5,2,360,3,,9999,1022,,BKN33,ZBTJ 172230Z 36003MPS 9999 BKN033 05/02 Q1022 NOSIG
2026-03-18T08:47:30.925889+09:00,天津,ZBTJ,5,2,350,3,,9999,1023,,FEW13 BKN33,ZBTJ 172330Z 35003MPS 9999 FEW013 BKN033 05/02 Q1023 NOSIG
2026-03-18T10:48:39.275977+09:00,天津,ZBTJ,7,-6,10,5,,9999,1024,,FEW26,ZBTJ 180130Z 01005MPS 9999 FEW026 07/M06 Q1024 NOSIG
2026-03-18T13:20:47.328700+09:00,天津,ZBTJ,9,-16,340,4,,9999,1024,,,ZBTJ 180400Z 34004MPS 300V030 CAVOK 09/M16 Q1024 NOSIG
2026-03-18T14:47:04.458285+09:00,天津,ZBTJ,10,-19,340,5,,9999,1023,,,ZBTJ 180530Z 34005MPS 270V030 CAVOK 10/M19 Q1023 NOSIG
2026-03-18T15:56:02.225208+09:00,天津,ZBTJ,11,-18,340,3,,9999,1022,,,ZBTJ 180630Z 34003MPS 290V030 CAVOK 11/M18 Q1022 NOSIG
2026-03-18T16:49:55.115190+09:00,天津,ZBTJ,11,-22,250,4,,9999,1021,,,ZBTJ 180730Z 25004MPS 200V300 CAVOK 11/M22 Q1021 NOSIG
