取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-05-14T00:32:42.426707+09:00,天津,ZBTJ,29,19,240,2,,9999,1004,,,ZBTJ 131500Z 24002MPS 200V260 CAVOK 29/19 Q1004 NOSIG
2026-05-14T02:36:58.285629+09:00,天津,ZBTJ,24,20,80,4,,3000,1005,BR,,ZBTJ 131700Z 08004MPS 3000 BR NSC 24/20 Q1005 BECMG TL1830 2800
2026-05-14T04:22:08.103511+09:00,天津,ZBTJ,20,17,100,2,,4000,1005,BR,,ZBTJ 131900Z 10002MPS 4000 BR NSC 20/17 Q1005 NOSIG
2026-05-14T06:09:27.487580+09:00,天津,ZBTJ,19,17,90,3,,5000,1006,BR,,ZBTJ 132100Z 09003MPS 5000 BR NSC 19/17 Q1006 NOSIG
