取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-03-13T01:01:06.576690+09:00,天津,ZBTJ,2,-4,160,3,,9999,1030,,,ZBTJ 121530Z 16003MPS CAVOK 02/M04 Q1030 NOSIG
2026-03-13T02:12:00.976537+09:00,天津,ZBTJ,2,-3,160,2,,9999,1029,,,ZBTJ 121700Z 16002MPS CAVOK 02/M03 Q1029 NOSIG
2026-03-13T03:04:10.055663+09:00,天津,ZBTJ,2,-2,180,1,,9999,1029,,,ZBTJ 121730Z 18001MPS CAVOK 02/M02 Q1029 NOSIG
2026-03-13T04:12:43.331764+09:00,天津,ZBTJ,0,-2,150,2,,9999,1028,,,ZBTJ 121900Z 15002MPS CAVOK 00/M02 Q1028 NOSIG
2026-03-13T04:54:10.584081+09:00,天津,ZBTJ,1,-3,160,2,,9999,1027,,,ZBTJ 121930Z 16002MPS CAVOK 01/M03 Q1027 NOSIG
2026-03-13T05:28:23.489732+09:00,天津,ZBTJ,0,-3,150,2,,9999,1027,,,ZBTJ 122000Z 15002MPS CAVOK 00/M03 Q1027 NOSIG
2026-03-13T06:02:42.324057+09:00,天津,ZBTJ,0,-3,170,1,,9999,1027,,,ZBTJ 122030Z 17001MPS CAVOK 00/M03 Q1027 NOSIG
2026-03-13T06:48:42.848828+09:00,天津,ZBTJ,0,-3,150,2,,9999,1027,,,ZBTJ 122130Z 15002MPS CAVOK 00/M03 Q1027 NOSIG
2026-03-13T07:20:01.072390+09:00,天津,ZBTJ,0,-3,150,3,,9999,1026,,,ZBTJ 122200Z 15003MPS CAVOK 00/M03 Q1026 NOSIG
2026-03-13T07:47:46.217323+09:00,天津,ZBTJ,1,-3,160,2,,9999,1026,,,ZBTJ 122230Z 16002MPS CAVOK 01/M03 Q1026 NOSIG
2026-03-13T08:22:53.372341+09:00,天津,ZBTJ,1,-3,140,2,,9999,1027,,,ZBTJ 122300Z 14002MPS CAVOK 01/M03 Q1027 NOSIG
2026-03-13T08:54:29.154721+09:00,天津,ZBTJ,3,-1,160,2,,9999,1026,,,ZBTJ 122330Z 16002MPS CAVOK 03/M01 Q1026 NOSIG
2026-03-13T10:42:16.790164+09:00,天津,ZBTJ,9,-5,200,2,,9999,1027,,,ZBTJ 130130Z 20002MPS 170V240 CAVOK 09/M05 Q1027 NOSIG
2026-03-13T13:07:33.342292+09:00,天津,ZBTJ,11,-4,,1,,9000,1026,,,ZBTJ 130330Z VRB01MPS 9000 NSC 11/M04 Q1026 NOSIG
2026-03-13T14:18:59.432327+09:00,天津,ZBTJ,11,-3,,1,,9000,1025,,BKN40,ZBTJ 130500Z VRB01MPS 9000 BKN040 11/M03 Q1025 NOSIG
2026-03-13T15:06:06.326455+09:00,天津,ZBTJ,11,-3,170,2,,8000,1024,,,ZBTJ 130530Z 17002MPS 140V200 8000 NSC 11/M03 Q1024 NOSIG
2026-03-13T16:13:34.390685+09:00,天津,ZBTJ,11,-2,210,3,,6000,1024,,OVC26,ZBTJ 130700Z 21003MPS 6000 OVC026 11/M02 Q1024 NOSIG
2026-03-13T19:05:23.340214+09:00,天津,ZBTJ,10,0,360,2,,6000,1024,,OVC33,ZBTJ 130930Z 36002MPS 6000 OVC033 10/00 Q1024 NOSIG
2026-03-13T19:57:48.843820+09:00,天津,ZBTJ,9,1,350,2,,7000,1024,,OVC40,ZBTJ 131030Z 35002MPS 7000 OVC040 09/01 Q1024 NOSIG
2026-03-13T20:33:12.961270+09:00,天津,ZBTJ,9,1,340,1,,7000,1025,,OVC40,ZBTJ 131100Z 34001MPS 7000 OVC040 09/01 Q1025 NOSIG
