取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-01-01T00:16:24.874412+09:00,天津,ZBTJ,-4,-18,250,2,,9999,1034,,,ZBTJ 311500Z 25002MPS CAVOK M04/M18 Q1034 NOSIG
2026-01-01T00:35:52.052691+09:00,天津,ZBTJ,-4,-18,250,2,,9999,1034,,,ZBTJ 311500Z 25002MPS CAVOK M04/M18 Q1034 NOSIG
2026-01-01T00:48:13.639091+09:00,天津,ZBTJ,-4,-18,250,2,,9999,1034,,,ZBTJ 311530Z 25002MPS CAVOK M04/M18 Q1034 NOSIG
2026-01-01T01:20:09.494549+09:00,天津,ZBTJ,-4,-18,240,2,,9999,1033,,,ZBTJ 311600Z 24002MPS CAVOK M04/M18 Q1033 NOSIG
2026-01-01T01:45:16.466988+09:00,天津,ZBTJ,-4,-18,260,1,,9999,1033,,,ZBTJ 311630Z 26001MPS CAVOK M04/M18 Q1033 NOSIG
2026-01-01T02:14:17.868041+09:00,天津,ZBTJ,-4,-18,250,1,,9999,1033,,,ZBTJ 311700Z 25001MPS CAVOK M04/M18 Q1033 NOSIG
2026-01-01T02:34:13.682921+09:00,天津,ZBTJ,-4,-18,250,1,,9999,1033,,,ZBTJ 311700Z 25001MPS CAVOK M04/M18 Q1033 NOSIG
2026-01-01T02:46:27.075766+09:00,天津,ZBTJ,-4,-18,270,2,,9999,1033,,,ZBTJ 311730Z 27002MPS CAVOK M04/M18 Q1033 NOSIG
2026-01-01T03:22:56.772222+09:00,天津,ZBTJ,-6,-17,,1,,9999,1033,,,ZBTJ 311800Z VRB01MPS CAVOK M06/M17 Q1033 NOSIG
2026-01-01T03:54:43.372228+09:00,天津,ZBTJ,-5,-17,260,1,,9999,1032,,,ZBTJ 311830Z 26001MPS CAVOK M05/M17 Q1032 NOSIG
2026-01-01T04:12:20.498714+09:00,天津,ZBTJ,-9,-15,,1,,9999,1032,,,ZBTJ 311900Z VRB01MPS CAVOK M09/M15 Q1032 NOSIG
2026-01-01T04:29:02.769085+09:00,天津,ZBTJ,-9,-15,,1,,9999,1032,,,ZBTJ 311900Z VRB01MPS CAVOK M09/M15 Q1032 NOSIG
2026-01-01T04:44:35.295968+09:00,天津,ZBTJ,-9,-14,,1,,9999,1032,,,ZBTJ 311930Z VRB01MPS CAVOK M09/M14 Q1032 NOSIG
2026-01-01T05:17:13.279400+09:00,天津,ZBTJ,-7,-16,0,0,,9999,1032,,,ZBTJ 312000Z 00000MPS CAVOK M07/M16 Q1032 NOSIG
2026-01-01T05:38:34.362351+09:00,天津,ZBTJ,-8,-14,0,0,,9999,1032,,,ZBTJ 312030Z 00000MPS CAVOK M08/M14 Q1032 NOSIG
2026-01-01T05:50:58.237007+09:00,天津,ZBTJ,-8,-14,0,0,,9999,1032,,,ZBTJ 312030Z 00000MPS CAVOK M08/M14 Q1032 NOSIG
2026-01-01T06:14:08.752970+09:00,天津,ZBTJ,-9,-15,,1,,9999,1032,,,ZBTJ 312100Z VRB01MPS CAVOK M09/M15 Q1032 NOSIG
