取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-06-04T00:05:22.013757+09:00,天津,ZBTJ,20,19,90,5,,5000,1004,BR,SCT9,ZBTJ 031430Z 09005MPS 060V120 5000 BR SCT009 20/19 Q1004 NOSIG
2026-06-04T04:00:00.513119+09:00,天津,ZBTJ,18,18,60,2,,7000,1006,,BKN11,ZBTJ 031830Z 06002MPS 7000 BKN011 18/18 Q1006 NOSIG
2026-06-04T06:55:17.056216+09:00,天津,ZBTJ,17,17,340,3,,4500,1005,BR,,ZBTJ 032130Z 34003MPS 4500 BR NSC 17/17 Q1005 NOSIG
2026-06-04T08:28:18.238053+09:00,天津,ZBTJ,19,17,330,3,,9999,1005,,,ZBTJ 032300Z 33003MPS CAVOK 19/17 Q1005 NOSIG
