取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-08-11T00:54:13.651196+09:00,天津,ZBTJ,27,25,150,2,,9999,1009,,FEW13,ZBTJ 101530Z 15002MPS 9999 FEW013 27/25 Q1009 NOSIG
2026-08-11T01:47:38.570024+09:00,天津,ZBTJ,27,25,150,1,,9999,1008,,,ZBTJ 101630Z 15001MPS CAVOK 27/25 Q1008 NOSIG
2026-08-11T02:46:14.843945+09:00,天津,ZBTJ,26,25,140,1,,9999,1007,,,ZBTJ 101730Z 14001MPS CAVOK 26/25 Q1007 NOSIG
2026-08-11T03:48:00.913415+09:00,天津,ZBTJ,26,25,,1,,9999,1007,,,ZBTJ 101830Z VRB01MPS CAVOK 26/25 Q1007 NOSIG
2026-08-11T04:50:57.207589+09:00,天津,ZBTJ,27,25,70,1,,9999,1007,,,ZBTJ 101930Z 07001MPS CAVOK 27/25 Q1007 NOSIG
2026-08-11T05:34:55.791426+09:00,天津,ZBTJ,27,25,70,1,,9999,1006,,,ZBTJ 102000Z 07001MPS CAVOK 27/25 Q1006 NOSIG
2026-08-11T06:22:44.224849+09:00,天津,ZBTJ,26,25,60,1,,9999,1007,,BKN33,ZBTJ 102100Z 06001MPS 9999 BKN033 26/25 Q1007 NOSIG
2026-08-11T07:16:55.198192+09:00,天津,ZBTJ,27,25,70,1,,9999,1007,,,ZBTJ 102200Z 07001MPS CAVOK 27/25 Q1007 NOSIG
2026-08-11T07:58:36.092742+09:00,天津,ZBTJ,27,26,,1,,9999,1007,,,ZBTJ 102230Z VRB01MPS CAVOK 27/26 Q1007 NOSIG
2026-08-11T08:37:35.813236+09:00,天津,ZBTJ,28,26,,1,,8000,1007,,,ZBTJ 102300Z VRB01MPS 8000 NSC 28/26 Q1007 NOSIG
2026-08-11T09:04:23.782445+09:00,天津,ZBTJ,28,26,,2,,9999,1007,,,ZBTJ 102330Z VRB02MPS CAVOK 28/26 Q1007 NOSIG
2026-08-11T11:29:20.995874+09:00,天津,ZBTJ,30,25,100,2,,9999,1007,-SHRA,BKN23 FEW23,ZBTJ 110200Z 10002MPS 050V160 9999 -SHRA BKN023 FEW023TCU 30/25 Q1007 NOSIG
2026-08-11T13:03:57.706329+09:00,天津,ZBTJ,27,26,340,3,,9999,1007,SHRA,BKN23 FEW23,SPECI ZBTJ 110342Z 34003MPS 9999 SHRA BKN023 FEW023CB 27/26 Q1007 BECMG TL0410 NSW
2026-08-11T14:29:45.287449+09:00,天津,ZBTJ,30,26,50,4,,9999,1007,,FEW23 SCT23,ZBTJ 110500Z 05004MPS 010V080 9999 SCT023 FEW023TCU 30/26 Q1007 NOSIG
2026-08-11T15:30:53.914471+09:00,天津,ZBTJ,31,26,140,4,,9999,1006,,FEW23 SCT23,ZBTJ 110600Z 14004MPS 080V170 9999 SCT023 FEW023TCU 31/26 Q1006 NOSIG
2026-08-11T16:50:02.111456+09:00,天津,ZBTJ,32,24,120,2,,9999,1006,,FEW26,ZBTJ 110730Z 12002MPS 060V160 9999 FEW026 32/24 Q1006 NOSIG
2026-08-11T17:47:15.148004+09:00,天津,ZBTJ,32,25,160,5,,9999,1005,,SCT33,ZBTJ 110830Z 16005MPS 9999 SCT033 32/25 Q1005 NOSIG
2026-08-11T18:54:52.666593+09:00,天津,ZBTJ,31,24,140,4,,9999,1005,,FEW33,ZBTJ 110930Z 14004MPS 9999 FEW033 31/24 Q1005 NOSIG
2026-08-11T19:44:24.106719+09:00,天津,ZBTJ,30,25,150,4,,9999,1006,,,ZBTJ 111030Z 15004MPS CAVOK 30/25 Q1006 NOSIG
