取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-08-20T00:24:25.716283+09:00,天津,ZBTJ,25,24,170,2,,9999,1012,,,ZBTJ 191500Z 17002MPS CAVOK 25/24 Q1012 NOSIG
2026-08-20T01:00:12.159105+09:00,天津,ZBTJ,26,25,140,1,,9999,1012,,,ZBTJ 191530Z 14001MPS CAVOK 26/25 Q1012 NOSIG
2026-08-20T01:38:42.487724+09:00,天津,ZBTJ,25,25,160,1,,5000,1012,BR,,ZBTJ 191630Z 16001MPS 5000 BR NSC 25/25 Q1012 NOSIG
2026-08-20T02:00:14.826252+09:00,天津,ZBTJ,25,25,160,1,,5000,1012,BR,,ZBTJ 191630Z 16001MPS 5000 BR NSC 25/25 Q1012 NOSIG
2026-08-20T02:42:46.803699+09:00,天津,ZBTJ,25,25,160,1,,5000,1012,BR,,ZBTJ 191730Z 16001MPS 5000 BR NSC 25/25 Q1012 NOSIG
2026-08-20T03:24:50.177796+09:00,天津,ZBTJ,25,25,190,1,,5000,1012,BR,,ZBTJ 191800Z 19001MPS 5000 BR NSC 25/25 Q1012 NOSIG
2026-08-20T04:04:35.408143+09:00,天津,ZBTJ,25,25,170,1,,3500,1012,BR,,ZBTJ 191830Z 17001MPS 3500 BR NSC 25/25 Q1012 NOSIG
2026-08-20T04:42:03.681697+09:00,天津,ZBTJ,25,25,170,1,,3500,1012,BR,,ZBTJ 191930Z 17001MPS 3500 BR NSC 25/25 Q1012 NOSIG
2026-08-20T05:19:25.399813+09:00,天津,ZBTJ,25,25,,1,,3500,1011,BR,,ZBTJ 192000Z VRB01MPS 3500 BR NSC 25/25 Q1011 NOSIG
2026-08-20T05:48:41.875625+09:00,天津,ZBTJ,25,24,,1,,3500,1011,BR,,ZBTJ 192030Z VRB01MPS 3500 BR NSC 25/24 Q1011 NOSIG
