取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-03-20T00:07:29.261681+09:00,大連,ZYTL,9,-8,250,6,,9999,1016,,,ZYTL 191430Z 25006MPS CAVOK 09/M08 Q1016 NOSIG
2026-03-20T01:10:09.753756+09:00,大連,ZYTL,10,-6,250,6,,9999,1017,,,ZYTL 191600Z 25006MPS CAVOK 10/M06 Q1017 NOSIG
2026-03-20T02:16:29.157413+09:00,大連,ZYTL,6,-2,290,4,,9999,1018,,,ZYTL 191700Z 29004MPS CAVOK 06/M02 Q1018 NOSIG
2026-03-20T03:05:14.849833+09:00,大連,ZYTL,6,-2,290,4,,9999,1018,,,ZYTL 191730Z 29004MPS CAVOK 06/M02 Q1018 NOSIG
2026-03-20T04:16:01.770279+09:00,大連,ZYTL,5,-3,330,3,,9999,1018,,,ZYTL 191900Z 33003MPS CAVOK 05/M03 Q1018 NOSIG
2026-03-20T04:54:19.564576+09:00,大連,ZYTL,5,-3,310,3,,9999,1018,,,ZYTL 191930Z 31003MPS CAVOK 05/M03 Q1018 NOSIG
2026-03-20T05:31:04.850855+09:00,大連,ZYTL,4,-2,320,2,,9999,1019,,,ZYTL 192000Z 32002MPS CAVOK 04/M02 Q1019 NOSIG
2026-03-20T06:06:09.835720+09:00,大連,ZYTL,4,-2,320,3,,9999,1019,,,ZYTL 192030Z 32003MPS CAVOK 04/M02 Q1019 NOSIG
2026-03-20T06:49:41.694881+09:00,大連,ZYTL,4,-1,320,2,,9999,1020,,,ZYTL 192130Z 32002MPS CAVOK 04/M01 Q1020 NOSIG
