取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-03-17T01:00:27.652036+09:00,大連,ZYTL,2,-5,280,2,,6000,1023,,,ZYTL 161530Z 28002MPS 6000 NSC 02/M05 Q1023 NOSIG
2026-03-17T02:18:30.410569+09:00,大連,ZYTL,2,-5,,1,,6000,1023,,,ZYTL 161700Z VRB01MPS 6000 NSC 02/M05 Q1023 NOSIG
2026-03-17T03:12:05.939405+09:00,大連,ZYTL,0,-6,0,0,,6000,1022,,,ZYTL 161800Z 00000MPS 6000 NSC 00/M06 Q1022 NOSIG
2026-03-17T04:30:06.607118+09:00,大連,ZYTL,0,-5,,1,,6000,1021,,,ZYTL 161900Z VRB01MPS 6000 NSC 00/M05 Q1021 NOSIG
