取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-04-02T00:44:16.925519+09:00,大連,ZYTL,7,-7,,1,,9999,1015,,,ZYTL 011530Z VRB01MPS CAVOK 07/M07 Q1015 NOSIG
2026-04-02T01:47:39.367201+09:00,大連,ZYTL,7,-8,270,2,,9999,1015,,,ZYTL 011630Z 27002MPS 240V300 CAVOK 07/M08 Q1015 NOSIG
2026-04-02T02:44:26.207325+09:00,大連,ZYTL,3,-8,270,2,,9999,1015,,,ZYTL 011730Z 27002MPS CAVOK 03/M08 Q1015 NOSIG
2026-04-02T03:53:41.274261+09:00,大連,ZYTL,4,-7,270,4,,9999,1015,,,ZYTL 011830Z 27004MPS CAVOK 04/M07 Q1015 NOSIG
2026-04-02T04:55:17.167735+09:00,大連,ZYTL,4,-6,280,2,,9999,1014,,,ZYTL 011930Z 28002MPS CAVOK 04/M06 Q1014 NOSIG
2026-04-02T05:39:02.465840+09:00,大連,ZYTL,3,-5,280,4,,9999,1014,,,ZYTL 012030Z 28004MPS CAVOK 03/M05 Q1014 NOSIG
2026-04-02T06:26:29.657328+09:00,大連,ZYTL,2,-4,270,1,,9999,1014,,,ZYTL 012100Z 27001MPS CAVOK 02/M04 Q1014 NOSIG
2026-04-02T07:07:02.261794+09:00,大連,ZYTL,3,-4,,1,,9999,1015,,,ZYTL 012200Z VRB01MPS CAVOK 03/M04 Q1015 NOSIG
2026-04-02T07:58:37.279790+09:00,大連,ZYTL,4,-4,280,1,,9999,1015,,,ZYTL 012230Z 28001MPS CAVOK 04/M04 Q1015 NOSIG
