取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-04-08T00:46:52.100414+09:00,大連,ZYTL,4,-9,,1,,9999,1018,,,ZYTL 071530Z VRB01MPS CAVOK 04/M09 Q1018 NOSIG
2026-04-08T01:51:08.334234+09:00,大連,ZYTL,5,-10,170,2,,9999,1018,,,ZYTL 071630Z 17002MPS 140V200 CAVOK 05/M10 Q1018 NOSIG
2026-04-08T02:54:10.187029+09:00,大連,ZYTL,4,-7,,1,,9999,1017,,,ZYTL 071730Z VRB01MPS CAVOK 04/M07 Q1017 NOSIG
2026-04-08T03:56:20.177620+09:00,大連,ZYTL,3,-5,,1,,9999,1017,,,ZYTL 071830Z VRB01MPS CAVOK 03/M05 Q1017 NOSIG
2026-04-08T04:54:58.926795+09:00,大連,ZYTL,5,-5,120,2,,9999,1016,,,ZYTL 071930Z 12002MPS CAVOK 05/M05 Q1016 NOSIG
2026-04-08T05:41:00.070765+09:00,大連,ZYTL,6,-2,160,3,,9999,1015,,,ZYTL 072030Z 16003MPS CAVOK 06/M02 Q1015 NOSIG
2026-04-08T06:37:29.704294+09:00,大連,ZYTL,5,1,130,3,,9999,1015,,,ZYTL 072130Z 13003MPS CAVOK 05/01 Q1015 NOSIG
2026-04-08T07:20:25.810956+09:00,大連,ZYTL,6,2,120,4,,9999,1015,,,ZYTL 072200Z 12004MPS CAVOK 06/02 Q1015 NOSIG
2026-04-08T08:09:25.758146+09:00,大連,ZYTL,8,2,130,3,,9999,1015,,,ZYTL 072300Z 13003MPS 090V160 CAVOK 08/02 Q1015 NOSIG
2026-04-08T08:55:09.147131+09:00,大連,ZYTL,9,1,150,2,,9999,1015,,,ZYTL 072330Z 15002MPS 070V240 CAVOK 09/01 Q1015 NOSIG
2026-04-08T10:57:13.072565+09:00,大連,ZYTL,13,1,200,5,,9999,1015,,,ZYTL 080130Z 20005MPS 160V230 CAVOK 13/01 Q1015 NOSIG
2026-04-08T13:37:02.838992+09:00,大連,ZYTL,17,-1,210,5,,9999,1013,,,ZYTL 080430Z 21005MPS 170V250 CAVOK 17/M01 Q1013 NOSIG
2026-04-08T15:08:56.778719+09:00,大連,ZYTL,18,-1,160,6,,9999,1012,,,ZYTL 080600Z 16006MPS 130V190 CAVOK 18/M01 Q1012 NOSIG
