取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-07-07T01:15:10.250284+09:00,大連,ZYTL,24,22,130,2,,8000,1001,,,ZYTL 061600Z 13002MPS 090V160 8000 NSC 24/22 Q1001 NOSIG
2026-07-07T03:21:09.544289+09:00,大連,ZYTL,23,22,,1,,5000,1001,BR,,ZYTL 061800Z VRB01MPS 5000 BR NSC 23/22 Q1001 NOSIG
2026-07-07T05:30:53.088275+09:00,大連,ZYTL,22,22,100,2,,5000,1001,BR,,ZYTL 062000Z 10002MPS 5000 BR NSC 22/22 Q1001 NOSIG
2026-07-07T07:00:45.452433+09:00,大連,ZYTL,23,22,110,4,,5000,1002,BR,,ZYTL 062130Z 11004MPS 5000 BR NSC 23/22 Q1002 NOSIG
