取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-06-24T01:12:18.980894+09:00,成田,RJAA,17,15,30,7,,9999,1013,,,RJAA 231600Z AUTO 03007KT 9999 NSC 17/15 Q1013 TEMPO BKN007
2026-06-24T03:15:34.508543+09:00,成田,RJAA,17,16,20,7,,9999,1013,,,RJAA 231800Z AUTO 02007KT 9999 NSC 17/16 Q1013 NOSIG
2026-06-24T05:24:01.952796+09:00,成田,RJAA,17,16,20,6,,9999,1013,,OVC11,RJAA 232000Z AUTO 02006KT 9999 OVC011 17/16 Q1013 NOSIG
2026-06-24T07:01:05.553520+09:00,成田,RJAA,18,16,30,6,,9999,1013,,FEW25 BKN35,RJAA 232130Z 03006KT 9999 FEW025 BKN035 18/16 Q1013 NOSIG
2026-06-24T08:31:32.614662+09:00,成田,RJAA,20,16,20,5,,9999,1014,,SCT20 BKN40,RJAA 232300Z 02005KT 350V060 9999 SCT020 BKN040 20/16 Q1014 NOSIG
2026-06-24T10:27:31.416698+09:00,成田,RJAA,23,18,350,5,,9999,1013,,FEW18 BKNNone,RJAA 240100Z 35005KT 290V040 9999 FEW018 BKN/// 23/18 Q1013 NOSIG
2026-06-24T14:46:36.064642+09:00,成田,RJAA,24,18,100,9,,9999,1012,,FEW25 SCT30 BKNNone,RJAA 240530Z 10009KT 9999 FEW025 SCT030 BKN/// 24/18 Q1012 NOSIG
2026-06-24T17:57:23.624247+09:00,成田,RJAA,22,18,130,9,,9999,1013,,FEW20 SCT70 BKNNone,RJAA 240830Z 13009KT 070V180 9999 FEW020 SCT070 BKN/// 22/18 Q1013 NOSIG
2026-06-24T20:44:42.045155+09:00,成田,RJAA,21,18,100,5,,9999,1013,,FEW20 BKNNone,RJAA 241130Z 10005KT 060V150 9999 FEW020 BKN/// 21/18 Q1013 NOSIG
