取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-04-07T00:07:32.055279+09:00,成田,RJAA,14,13,140,5,,9999,1009,,,RJAA 061500Z AUTO 14005KT 9999 NSC 14/13 Q1009 NOSIG
2026-04-07T01:02:38.625448+09:00,成田,RJAA,14,13,150,3,,9999,1009,,,RJAA 061530Z AUTO 15003KT 9999 NSC 14/13 Q1009 NOSIG
2026-04-07T02:08:05.282133+09:00,成田,RJAA,15,13,180,3,,9999,1008,,,RJAA 061700Z AUTO 18003KT 140V220 9999 NSC 15/13 Q1008 NOSIG
2026-04-07T03:06:23.965688+09:00,成田,RJAA,17,14,190,6,,9999,1008,,,RJAA 061730Z AUTO 19006KT 160V250 9999 NSC 17/14 Q1008 NOSIG
2026-04-07T04:31:09.109634+09:00,成田,RJAA,17,14,190,7,,9999,1007,,,RJAA 061900Z AUTO 19007KT 9999 NSC 17/14 Q1007 NOSIG
2026-04-07T05:07:00.635281+09:00,成田,RJAA,17,14,190,5,,9999,1006,,,RJAA 061930Z AUTO 19005KT 9999 NSC 17/14 Q1006 NOSIG
2026-04-07T05:56:41.345668+09:00,成田,RJAA,16,14,180,4,,9999,1005,,,RJAA 062030Z AUTO 18004KT 140V210 9999 NSC 16/14 Q1005 NOSIG
2026-04-07T06:36:40.781061+09:00,成田,RJAA,17,13,190,9,,9999,1005,,FEW30 BKNNone,RJAA 062100Z 19009KT 150V220 9999 FEW030 BKN/// 17/13 Q1005 NOSIG
2026-04-07T07:03:27.930073+09:00,成田,RJAA,17,14,190,10,,9999,1005,,FEW30 SCT160 BKNNone,RJAA 062130Z 19010KT 160V230 9999 FEW030 SCT160 BKN/// 17/14 Q1005 NOSIG
2026-04-07T07:57:27.821313+09:00,成田,RJAA,17,13,180,6,,9999,1004,,FEW30 BKN120 BKNNone,RJAA 062230Z 18006KT 150V220 9999 FEW030 BKN120 BKN/// 17/13 Q1004 NOSIG
2026-04-07T08:36:39.224654+09:00,成田,RJAA,18,13,200,9,,9999,1004,,FEW30 BKN110,RJAA 062300Z 20009KT 170V230 9999 FEW030 BKN110 18/13 Q1004 NOSIG
2026-04-07T15:55:55.258419+09:00,成田,RJAA,17,13,220,12,,9999,997,,FEW20 BKN130 BKN180,RJAA 070630Z 22012KT 180V260 9999 FEW020 BKN130 BKN180 17/13 Q0997 BECMG FM0800 32012KT
2026-04-07T17:10:50.798827+09:00,成田,RJAA,17,12,220,9,,9999,998,,FEW20 SCT130 BKNNone,RJAA 070800Z 22009KT 200V260 9999 FEW020 SCT130 BKN/// 17/12 Q0998 BECMG 32012KT TEMPO FM0900 32015G25KT
2026-04-07T20:34:02.771862+09:00,成田,RJAA,9,6,10,15,,9999,1004,,FEW20 BKN50,RJAA 071100Z 01015KT 9999 FEW020 BKN050 09/06 Q1004 NOSIG
