取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-01-29T00:27:22.174736+09:00,成田,RJAA,2,-7,10,9,,9999,1016,,,RJAA 281500Z AUTO 01009KT 9999 NSC 02/M07 Q1016 NOSIG
2026-01-29T01:02:15.278301+09:00,成田,RJAA,2,-7,20,6,,9999,1016,,FEW27 SCT29 OVC80,RJAA 281530Z AUTO 02006KT 9999 FEW027 SCT029 OVC080 02/M07 Q1016 NOSIG RMK A3002
2026-01-29T01:58:41.758213+09:00,成田,RJAA,1,-7,350,6,,9999,1016,,FEW27 BKN29,RJAA 281630Z AUTO 35006KT 9999 FEW027 BKN029 01/M07 Q1016 NOSIG RMK A3002
2026-01-29T02:36:15.294286+09:00,成田,RJAA,2,-8,360,8,,9999,1016,,FEW30 OVC31,RJAA 281700Z AUTO 36008KT 9999 FEW030 OVC031 02/M08 Q1016 NOSIG RMK A3002
2026-01-29T02:59:21.746299+09:00,成田,RJAA,2,-8,360,8,,9999,1016,,FEW32 SCT47 BKN50,RJAA 281730Z AUTO 36008KT 9999 FEW032 SCT047 BKN050 02/M08 Q1016 NOSIG RMK A3002
2026-01-29T03:45:47.981729+09:00,成田,RJAA,2,-7,330,5,,9999,1016,,BKN36 OVC47,RJAA 281830Z AUTO 33005KT 9999 BKN036 OVC047 02/M07 Q1016 NOSIG RMK A3002
2026-01-29T04:23:07.310548+09:00,成田,RJAA,1,-7,330,4,,9999,1016,,FEW37 SCT48 BKN60,RJAA 281900Z AUTO 33004KT 9999 FEW037 SCT048 BKN060 01/M07 Q1016 NOSIG RMK A3001
2026-01-29T04:54:28.303859+09:00,成田,RJAA,1,-7,340,3,,9999,1016,,,RJAA 281930Z AUTO 34003KT 9999 NSC 01/M07 Q1016 NOSIG RMK A3001
2026-01-29T05:24:15.197350+09:00,成田,RJAA,1,-7,300,3,,9999,1016,,,RJAA 282000Z AUTO 30003KT 270V340 9999 NSC 01/M07 Q1016 NOSIG RMK A3002
2026-01-29T06:00:42.301060+09:00,成田,RJAA,1,-6,320,4,,9999,1016,,,RJAA 282030Z AUTO 32004KT 9999 NSC 01/M06 Q1016 NOSIG RMK A3002
2026-01-29T06:46:52.059042+09:00,成田,RJAA,1,-6,310,5,,9999,1017,,FEW30 BKN60 BKN70,RJAA 282130Z 31005KT 9999 FEW030 BKN060 BKN070 01/M06 Q1017 NOSIG RMK 1CU030 5SC060 7AC070 A3004
2026-01-29T07:21:35.140600+09:00,成田,RJAA,1,-6,320,5,,9999,1017,,FEW30 SCT60 BKN70,RJAA 282200Z 32005KT 9999 FEW030 SCT060 BKN070 01/M06 Q1017 NOSIG RMK 1CU030 4SC060 7AC070 A3004
2026-01-29T07:57:21.740605+09:00,成田,RJAA,1,-6,320,3,,9999,1017,,FEW30 BKN70,RJAA 282230Z 32003KT 9999 FEW030 BKN070 01/M06 Q1017 NOSIG RMK 1CU030 7AC070 A3004
