取得日時,空港名,ICAOコード,気温,露点温度,風向,風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2025-12-28T22:52:42.903506+09:00,成田,RJAA,4,-2,80,4,,9999,1022,,,RJAA 281330Z 08004KT 050V120 CAVOK 04/M02 Q1022 BECMG FM1400 05005KT
2025-12-28T22:53:19.500867+09:00,成田,RJAA,4,-2,80,4,,9999,1022,,,RJAA 281330Z 08004KT 050V120 CAVOK 04/M02 Q1022 BECMG FM1400 05005KT
2025-12-28T22:55:23.121650+09:00,成田,RJAA,4,-2,80,4,,9999,1022,,,RJAA 281330Z 08004KT 050V120 CAVOK 04/M02 Q1022 BECMG FM1400 05005KT
2025-12-28T22:56:33.524840+09:00,成田,RJAA,4,-2,80,4,,9999,1022,,,RJAA 281330Z 08004KT 050V120 CAVOK 04/M02 Q1022 BECMG FM1400 05005KT
2025-12-28T22:57:07.937886+09:00,成田,RJAA,4,-2,80,4,,9999,1022,,,RJAA 281330Z 08004KT 050V120 CAVOK 04/M02 Q1022 BECMG FM1400 05005KT
2025-12-28T23:01:26.457957+09:00,成田,RJAA,4,-2,80,4,,9999,1022,,,RJAA 281330Z 08004KT 050V120 CAVOK 04/M02 Q1022 BECMG FM1400 05005KT
