取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-07-04T01:22:09.889805+09:00,石家荘,ZBSJ,31,19,170,3,,9999,1001,,,ZBSJ 031600Z 17003MPS CAVOK 31/19 Q1001 NOSIG
2026-07-04T02:59:56.764627+09:00,石家荘,ZBSJ,30,20,180,4,,9999,1000,,,ZBSJ 031700Z 18004MPS CAVOK 30/20 Q1000 NOSIG
2026-07-04T04:40:09.743207+09:00,石家荘,ZBSJ,27,20,170,3,,9999,1000,,,ZBSJ 031900Z 17003MPS CAVOK 27/20 Q1000 NOSIG
2026-07-04T05:42:05.695823+09:00,石家荘,ZBSJ,28,20,210,3,,9999,999,,,ZBSJ 032000Z 21003MPS CAVOK 28/20 Q0999 NOSIG
2026-07-04T07:00:45.166541+09:00,石家荘,ZBSJ,27,20,180,3,,9999,999,,,ZBSJ 032100Z 18003MPS CAVOK 27/20 Q0999 NOSIG
2026-07-04T08:28:09.561192+09:00,石家荘,ZBSJ,28,21,190,4,,9999,1000,,,ZBSJ 032300Z 19004MPS CAVOK 28/21 Q1000 NOSIG
2026-07-04T10:11:56.156892+09:00,石家荘,ZBSJ,32,22,180,5,,9999,1000,,,ZBSJ 040100Z 18005MPS CAVOK 32/22 Q1000 NOSIG
2026-07-04T13:53:26.972204+09:00,石家荘,ZBSJ,37,22,190,4,,9999,999,,,ZBSJ 040400Z 19004MPS 160V220 CAVOK 37/22 Q0999 NOSIG
2026-07-04T16:39:41.366375+09:00,石家荘,ZBSJ,40,20,,2,,9999,997,,,ZBSJ 040700Z VRB02MPS CAVOK 40/20 Q0997 NOSIG
2026-07-04T18:50:56.360530+09:00,石家荘,ZBSJ,39,20,190,4,,9999,996,,,ZBSJ 040900Z 19004MPS 160V230 CAVOK 39/20 Q0996 NOSIG
