取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-01-14T00:19:50.461810+09:00,石家荘,ZBSJ,-4,-11,,1,,9999,1019,,,ZBSJ 131500Z VRB01MPS CAVOK M04/M11 Q1019 NOSIG
2026-01-14T00:45:19.380417+09:00,石家荘,ZBSJ,-4,-11,,1,,9999,1019,,,ZBSJ 131500Z VRB01MPS CAVOK M04/M11 Q1019 NOSIG
2026-01-14T01:25:03.964076+09:00,石家荘,ZBSJ,-6,-11,,1,,9999,1019,,,ZBSJ 131600Z VRB01MPS CAVOK M06/M11 Q1019 NOSIG
2026-01-14T02:00:41.699796+09:00,石家荘,ZBSJ,-6,-11,,1,,9999,1019,,,ZBSJ 131600Z VRB01MPS CAVOK M06/M11 Q1019 NOSIG
2026-01-14T02:45:14.865827+09:00,石家荘,ZBSJ,-6,-11,320,1,,9999,1018,,,ZBSJ 131700Z 32001MPS CAVOK M06/M11 Q1018 NOSIG
2026-01-14T03:25:52.683400+09:00,石家荘,ZBSJ,-6,-10,340,1,,9999,1018,,,ZBSJ 131800Z 34001MPS CAVOK M06/M10 Q1018 NOSIG
2026-01-14T03:57:44.222079+09:00,石家荘,ZBSJ,-6,-10,340,1,,9999,1018,,,ZBSJ 131800Z 34001MPS CAVOK M06/M10 Q1018 NOSIG
2026-01-14T04:21:51.871235+09:00,石家荘,ZBSJ,-6,-11,10,1,,8000,1018,,,ZBSJ 131900Z 01001MPS 8000 NSC M06/M11 Q1018 NOSIG
2026-01-14T04:44:34.241166+09:00,石家荘,ZBSJ,-6,-11,10,1,,8000,1018,,,ZBSJ 131900Z 01001MPS 8000 NSC M06/M11 Q1018 NOSIG
2026-01-14T05:19:26.432061+09:00,石家荘,ZBSJ,-6,-10,330,1,,8000,1017,,,ZBSJ 132000Z 33001MPS 8000 NSC M06/M10 Q1017 NOSIG
2026-01-14T05:42:54.022623+09:00,石家荘,ZBSJ,-6,-10,330,1,,8000,1017,,,ZBSJ 132000Z 33001MPS 8000 NSC M06/M10 Q1017 NOSIG
2026-01-14T06:16:44.721607+09:00,石家荘,ZBSJ,-6,-10,250,1,,8000,1017,,,ZBSJ 132100Z 25001MPS 8000 NSC M06/M10 Q1017 NOSIG
2026-01-14T06:36:49.233252+09:00,石家荘,ZBSJ,-6,-10,250,1,,8000,1017,,,ZBSJ 132100Z 25001MPS 8000 NSC M06/M10 Q1017 NOSIG
2026-01-14T06:50:16.581690+09:00,石家荘,ZBSJ,-6,-10,250,1,,8000,1017,,,ZBSJ 132100Z 25001MPS 8000 NSC M06/M10 Q1017 NOSIG
2026-01-14T07:17:32.711208+09:00,石家荘,ZBSJ,-6,-10,,1,,8000,1017,,,ZBSJ 132200Z VRB01MPS 8000 NSC M06/M10 Q1017 NOSIG
2026-01-14T07:42:26.325561+09:00,石家荘,ZBSJ,-6,-10,,1,,8000,1017,,,ZBSJ 132200Z VRB01MPS 8000 NSC M06/M10 Q1017 NOSIG
