取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-06-15T00:19:44.117315+09:00,石家荘,ZBSJ,23,19,,1,,9999,1008,,,ZBSJ 141500Z VRB01MPS CAVOK 23/19 Q1008 NOSIG
2026-06-15T01:49:52.554505+09:00,石家荘,ZBSJ,22,20,,1,,9999,1008,,,ZBSJ 141600Z VRB01MPS CAVOK 22/20 Q1008 NOSIG
2026-06-15T03:08:53.883856+09:00,石家荘,ZBSJ,23,20,340,1,,9999,1008,,,ZBSJ 141800Z 34001MPS CAVOK 23/20 Q1008 NOSIG
2026-06-15T04:59:23.183352+09:00,石家荘,ZBSJ,22,20,330,1,,7000,1008,,,ZBSJ 141900Z 33001MPS 7000 NSC 22/20 Q1008 NOSIG
