取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-04-04T00:24:35.111620+09:00,石家荘,ZBSJ,16,-9,350,5,,9999,1009,,,ZBSJ 031500Z 35005MPS CAVOK 16/M09 Q1009 NOSIG
2026-04-04T01:05:05.538666+09:00,石家荘,ZBSJ,16,-9,350,5,,9999,1009,,,ZBSJ 031500Z 35005MPS CAVOK 16/M09 Q1009 NOSIG
2026-04-04T01:57:59.876297+09:00,石家荘,ZBSJ,16,-9,10,4,,9999,1010,,,ZBSJ 031600Z 01004MPS 340V040 CAVOK 16/M09 Q1010 NOSIG
2026-04-04T02:35:46.033764+09:00,石家荘,ZBSJ,12,-7,40,2,,9999,1010,,,ZBSJ 031700Z 04002MPS 360V070 CAVOK 12/M07 Q1010 NOSIG
2026-04-04T03:04:49.535331+09:00,石家荘,ZBSJ,12,-7,40,2,,9999,1010,,,ZBSJ 031700Z 04002MPS 360V070 CAVOK 12/M07 Q1010 NOSIG
2026-04-04T04:06:52.382399+09:00,石家荘,ZBSJ,9,-5,,1,,9999,1011,,,ZBSJ 031800Z VRB01MPS CAVOK 09/M05 Q1011 NOSIG
2026-04-04T04:53:41.554818+09:00,石家荘,ZBSJ,6,-4,,1,,9999,1010,,,ZBSJ 031900Z VRB01MPS CAVOK 06/M04 Q1010 NOSIG
2026-04-04T05:30:02.286747+09:00,石家荘,ZBSJ,5,-3,,1,,9999,1010,,,ZBSJ 032000Z VRB01MPS CAVOK 05/M03 Q1010 NOSIG
2026-04-04T06:04:35.210055+09:00,石家荘,ZBSJ,5,-3,,1,,9999,1010,,,ZBSJ 032000Z VRB01MPS CAVOK 05/M03 Q1010 NOSIG
2026-04-04T06:50:37.389636+09:00,石家荘,ZBSJ,4,-2,240,1,,9999,1010,,,ZBSJ 032100Z 24001MPS CAVOK 04/M02 Q1010 NOSIG
2026-04-04T07:27:54.109907+09:00,石家荘,ZBSJ,3,-1,130,1,,9999,1011,,,ZBSJ 032200Z 13001MPS CAVOK 03/M01 Q1011 NOSIG
2026-04-04T08:03:36.656749+09:00,石家荘,ZBSJ,3,-1,130,1,,9999,1011,,,ZBSJ 032200Z 13001MPS CAVOK 03/M01 Q1011 NOSIG
2026-04-04T08:50:10.477278+09:00,石家荘,ZBSJ,9,-3,120,2,,9999,1011,,,ZBSJ 032300Z 12002MPS CAVOK 09/M03 Q1011 NOSIG
2026-04-04T10:46:45.526889+09:00,石家荘,ZBSJ,13,2,170,7,,9999,1010,,,ZBSJ 040100Z 17007MPS CAVOK 13/02 Q1010 NOSIG
2026-04-04T13:12:32.275149+09:00,石家荘,ZBSJ,18,2,160,8,,9999,1007,,,ZBSJ 040400Z 16008MPS CAVOK 18/02 Q1007 NOSIG
2026-04-04T14:36:28.972300+09:00,石家荘,ZBSJ,19,2,170,8,,9999,1005,,,ZBSJ 040500Z 17008MPS CAVOK 19/02 Q1005 NOSIG
