取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-05-20T02:16:42.153898+09:00,羽田,RJTT,22,17,200,12,,9999,1013,,,RJTT 191700Z 20012KT CAVOK 22/17 Q1013 NOSIG
2026-05-20T04:19:05.566159+09:00,羽田,RJTT,22,17,200,9,,9999,1013,,FEW30 BKN140,RJTT 191900Z 20009KT 9999 FEW030 BKN140 22/17 Q1013 NOSIG
2026-05-20T05:54:03.712158+09:00,羽田,RJTT,22,17,210,9,,9999,1014,,FEW30 BKNNone,RJTT 192030Z 21009KT 9999 FEW030 BKN/// 22/17 Q1014 NOSIG
2026-05-20T07:10:31.636768+09:00,羽田,RJTT,24,17,170,6,,9999,1013,,FEW30 BKNNone,RJTT 192200Z 17006KT 9999 FEW030 BKN/// 24/17 Q1013 NOSIG
2026-05-20T08:33:25.720060+09:00,羽田,RJTT,24,17,190,11,,9999,1014,,FEW30 BKNNone,RJTT 192300Z 19011KT 9999 FEW030 BKN/// 24/17 Q1014 NOSIG
2026-05-20T10:33:03.480717+09:00,羽田,RJTT,26,18,180,12,,9999,1013,,FEW30 BKNNone,RJTT 200100Z 18012KT 9999 FEW030 BKN/// 26/18 Q1013 NOSIG
2026-05-20T14:48:25.777527+09:00,羽田,RJTT,27,19,180,17,,9999,1011,,FEW30 BKNNone,RJTT 200530Z 18017KT 9999 FEW030 BKN/// 27/19 Q1011 NOSIG
2026-05-20T17:58:08.765645+09:00,羽田,RJTT,23,20,190,16,,9999,1011,,FEW30 BKNNone,RJTT 200830Z 19016KT 9999 FEW030 BKN/// 23/20 Q1011 NOSIG
2026-05-20T20:49:43.611402+09:00,羽田,RJTT,22,20,180,13,,9999,1012,,FEW20 SCT120 BKN150,RJTT 201100Z 18013KT 9999 FEW020 SCT120 BKN150 22/20 Q1012 NOSIG
