取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-05-16T01:22:15.358036+09:00,羽田,RJTT,17,15,100,5,,9999,1023,,FEW10 SCT15,RJTT 151600Z 10005KT 9999 FEW010 SCT015 17/15 Q1023 NOSIG
2026-05-16T03:09:20.902274+09:00,羽田,RJTT,17,15,70,4,,9999,1023,,FEW10 BKN15,RJTT 151800Z 07004KT 9999 FEW010 BKN015 17/15 Q1023 TEMPO FEW010 BKN012 BECMG TL1930 03005KT
2026-05-16T04:55:40.114174+09:00,羽田,RJTT,17,15,60,5,,9000,1023,,FEW10 BKN14,RJTT 151930Z 06005KT 9000 FEW010 BKN014 17/15 Q1023 BECMG TL2030 03004KT
2026-05-16T05:56:20.266876+09:00,羽田,RJTT,17,15,70,7,,9000,1023,,FEW10 BKN15,RJTT 152030Z 07007KT 9000 FEW010 BKN015 17/15 Q1023 TEMPO TL2130 FEW010 BKN014
2026-05-16T06:57:57.462775+09:00,羽田,RJTT,18,14,50,5,,9999,1024,,FEW10 BKN18,RJTT 152130Z 05005KT 9999 FEW010 BKN018 18/14 Q1024 NOSIG
2026-05-16T07:56:19.779886+09:00,羽田,RJTT,18,15,50,3,,9999,1024,,FEW15,RJTT 152230Z 05003KT 020V080 9999 FEW015 18/15 Q1024 NOSIG
2026-05-16T08:53:07.965601+09:00,羽田,RJTT,19,15,70,4,,9999,1023,,FEW15,RJTT 152330Z 07004KT 9999 FEW015 19/15 Q1023 NOSIG
2026-05-16T11:29:18.566139+09:00,羽田,RJTT,23,16,90,6,,9999,1022,,FEW30,RJTT 160200Z 09006KT 9999 FEW030 23/16 Q1022 NOSIG
2026-05-16T14:40:30.228762+09:00,羽田,RJTT,25,11,120,6,,9999,1019,,FEW30,RJTT 160530Z 12006KT 9999 FEW030 25/11 Q1019 BECMG FM0630 18012KT
2026-05-16T16:56:37.599749+09:00,羽田,RJTT,24,11,170,12,,9999,1018,,FEW30,RJTT 160730Z 17012KT 9999 FEW030 24/11 Q1018 NOSIG
2026-05-16T18:28:18.250207+09:00,羽田,RJTT,22,13,210,10,,9999,1018,,,RJTT 160900Z 21010KT CAVOK 22/13 Q1018 NOSIG
2026-05-16T19:47:13.391783+09:00,羽田,RJTT,21,14,210,10,,9999,1019,,,RJTT 161030Z 21010KT CAVOK 21/14 Q1019 NOSIG
2026-05-16T20:45:29.701648+09:00,羽田,RJTT,20,14,210,10,,9999,1019,,,RJTT 161130Z 21010KT CAVOK 20/14 Q1019 NOSIG
2026-05-16T22:10:08.644769+09:00,羽田,RJTT,20,13,220,7,,9999,1019,,,RJTT 161300Z 22007KT CAVOK 20/13 Q1019 BECMG TL1400 26004KT
