取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-03-09T00:18:42.788575+09:00,羽田,RJTT,6,-4,350,13,,9999,1022,,FEW60 BKNNone,RJTT 081500Z 35013KT 9999 FEW060 BKN/// 06/M04 Q1022 NOSIG
2026-03-09T00:41:48.522654+09:00,羽田,RJTT,6,-5,340,11,,9999,1021,,FEW50 BKNNone,RJTT 081530Z 34011KT 9999 FEW050 BKN/// 06/M05 Q1021 NOSIG
2026-03-09T01:21:10.599123+09:00,羽田,RJTT,6,-5,350,12,,9999,1021,,FEW50 BKNNone,RJTT 081600Z 35012KT 9999 FEW050 BKN/// 06/M05 Q1021 NOSIG
2026-03-09T01:56:00.252257+09:00,羽田,RJTT,6,-5,350,12,,9999,1021,,SCT50 BKNNone,RJTT 081630Z 35012KT 9999 SCT050 BKN/// 06/M05 Q1021 NOSIG
2026-03-09T02:20:23.489981+09:00,羽田,RJTT,6,-4,340,12,,9999,1021,,SCT50 BKNNone,RJTT 081700Z 34012KT 9999 SCT050 BKN/// 06/M04 Q1021 NOSIG
2026-03-09T02:53:30.756688+09:00,羽田,RJTT,5,-6,340,12,,9999,1021,,SCT50 BKNNone,RJTT 081730Z 34012KT 9999 SCT050 BKN/// 05/M06 Q1021 NOSIG
2026-03-09T03:26:23.881293+09:00,羽田,RJTT,6,-3,340,14,,9999,1021,,BKN50 BKNNone,RJTT 081800Z 34014KT 9999 BKN050 BKN/// 06/M03 Q1021 NOSIG
